@relation bla
@attribute senti {-1,0,1}
@attribute text string
@data
'-1',"Awesome update with new can't-view-PDFs feature!"
'-1','(For most apple app) If i need to upload 500 images...i have to check those 500 images one-by-one!?'
'0',"(iPad, iPhone 5, iOS 7) 2) When scrolling, if you're not careful, whatever file you're touching while scrolling tends to open accidentally."
'-1',") ..  We are now exploring the business application - sky's the limit.."
'1',') I LOVED the version prior to this one.'
'-1',') the Dropbox app shows me out-of-date copies of PDFs in my Dropbox that have been updated.'
'1',"...it's been very helpful with booking a room, dining, etc, the few times I've used it."
'-1',"1) It's very crash-prone, even after reinstalling and restarting the device."
'0',"15/2 Update What's happened to this app?"
'-1','2\\1\\14 Will not let me share recipes with any of my friends.'
'-1',"4 out of 5 because still can't rename files..."
'1','4.My pictures just come to you like magic.'
'-1','5 to 3 Latest update causes page to scroll down on its own everytime opening a pin..ANNOYING!'
'0','5.You open my PDFs, Docs etc.'
'-1','80% It sometimes jam up'
'1',':) I love it, a lot less messy and much convenient than a real bulletin board or scrapbook'
'1',':) Very user friendly and offers a wide variety of things!'
'-1',';)....:-/.....:-(( Just great usually....but since latest update unable to send pins.'
'-1','A bit pricey though - almost twice as expensive as competitions if you want the extra space.'
'0','A calender would be nifty as well.'
'1','A giant picture filing cabinet!!'
'1',"A good app It's a good app but needs improvement"
'1','A great help to find attractions and hotels in the place I intend to go.'
'0','A place to collect all the pieces of information that can clutter your life.'
'0','A tip: Please allow me to search ALL my notebooks - helpful to locate an ingredient - rather than searching within each notebook individually.'
'-1','Abdul Downloading slow'
'0','Ability to highlight (re-positionable sticky notes are a dream).'
'0','Ability to swipe through notes, like flipping pages in a books.'
'-1','About 1 in 4 syncs give an error message.'
'1',"ABSOLUTE BEST This app is awesome I've edited some really cool pictures."
'0',"Add features to let me edit office files, share folders instead of just files, and view more types of files (catch up to g drive) and you'll get five stars, and I can stop using google drive."
'1',"Add my flag Please add flag of Pakistan and i'll give it a 5 star :-)"
'-1','Add the moving parts from reds might feathers into a new section in the bad piggies game'
'-1','Add the tap to load or swipe down to load options!'
'1','Addictive I love to pin the things that interest me and watch as other people enjoy my pinning.'
'1','Addictive...love it!'
'1','Additionally, classifying a note by notebook and adding tags makes it easy to organize among a couple different dimensions for easy retrieval at a later date.'
'0','After a few easy levels, I am again practicing my aim.'
'-1','After I did the update it will not open.'
'-1','After the last update, it crashes every time I open the manual upload.'
'-1','After the latest upgrades, there were issues and now it crashes and I cannot access anything.'
'-1',"After this latest update I can't even get into my account on either my iPhone or iPad it says incorrect password!!!"
'-1',"After you beat level 22-1 it freezes and doesn't give you the points for the level"
'1','Again, working like the desktop version would be better here.'
'-1','Agree with recent reviewers - this update completely ruined this excellent app for the iPhone on IOS7'
'-1','Agree with recent reviewers - this update completely ruined this excellent app for the iPhone on IOS7.'
'-1','ALL 1,300 photos were deleted.'
'1','all in one spot From hair styles, to do-it-yourself ideas, fashion ideas to quotes...'
'1','All info available is just what is needed!'
'-1','All it needs is multiple accounts!'
'1','All my files and especially my photos are being synced FAST to my laptop.'
'1','All of my reminders, notes and receipts in one place.'
'-1','All other worlds crash except the first one'
'0','All pictures are locked and frozen.'
'0','All that aside, I like calling up notes on my phone, ipad, and desktop (almost) whenever I want.'
'-1','All the notebooks are there but they are all empty.'
'1','All the tools you need to plan your vacation are right at your finger tips with this great app!'
'-1',"All these updates, and I still can't rename things?"
'1','All you need for decorating pictures is in this app'
'-1','Allow users to force a sync!'
'1','Already addicted to the easy interface and concise, appropriate info.'
'-1','Also an improvement in the media player would also help.'
'-1','Also in Evernote hello there is no categorizing.'
'-1',"Also its more cumbersome to swipe through images since it's only responsive on the top half of the screen instead of the whole screen."
'1','Also lets me post my crafty side and get more feedback.'
'1','Also like web integration.'
'-1','Also lost the ability to export into pages for editing.'
'1','Also makes it easy to get photos from phone to computer since I never seem to move them.'
'1','Also makes preparing a menu easier!'
'0','Also please stop auto loading of images in feed section.'
'-1','Also pops up for you to rate it at every log in so save yourself the annoyance and rate it right away.'
'-1','Also slows down a ton when I open another board besides my own.'
'-1','Also the Daily Rewards Power Up/Slot Machine no longer loads anymore.'
'-1','Also the play, re, fw controls you get after double clicking the home button no longer work with this app.'
'1','Also very good for finding a good hotel.'
'-1','Also why is it not possible to change names of files or folders?'
'0','Also would be nice to rename files.'
'0','Also would love to have an individual resort map of all the resorts available to view.'
'0',"Also, an ability to highlight/edit PDF's would be rad."
'0','Also, can you please add the option to copy and move files?'
'-1',"Also, I haven't found an undo option on the app version so when I accidentally delete content, I have to do it over."
'1','Also, I love the new interface.'
