@relation OpenOffice_features

@attribute num_verbs numeric
@attribute num_pos_verbs numeric
@attribute pos_verbs_score real
@attribute num_neg_verbs numeric
@attribute neg_verbs_score real
@attribute contain_modal numeric
@attribute modal numeric
@attribute num_nouns numeric
@attribute num_pos_nouns numeric
@attribute pos_nouns_score real
@attribute num_neg_nouns numeric
@attribute neg_nouns_score real
@attribute num_pos_adj numeric
@attribute pos_score real
@attribute num_neg_adj numeric
@attribute neg_score real
@attribute num_adj numeric
@attribute sent_length numeric
@attribute num_code_lines numeric
@attribute num_question_marks numeric
@attribute num_exclamation_marks numeric
@attribute num_slash numeric
@attribute num_underscore numeric
@attribute num_SAD numeric
@attribute num_SMILEY numeric
@attribute num_http numeric
@attribute num_ftp numeric
@attribute num_hash numeric
@attribute num_currency numeric
@attribute num_percentage numeric
@attribute num_brackets_type1 numeric
@attribute num_brackets_type2 numeric
@attribute num_assertive_verbs numeric
@attribute num_requestive_verbs numeric
@attribute num_responsive_verbs numeric
@attribute num_informative_verbs numeric
@attribute num_assertive_expressions numeric
@attribute num_requestive_expressions numeric
@attribute num_responsive_expressions numeric
@attribute overall_sentiment real
@attribute @@class@@ {ENHANCEMENT,DEFECT,FEATURE}


@data

3,0,0.0,0,0.0,2,-1,1,0,0.0,1,-0.1,0,0.0,0,0.0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,ENHANCEMENT
1,0,0.0,0,0.0,2,-1,1,0,0.0,0,0.0,0,0.0,0,0.0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,DEFECT
2,0,0.0,0,0.0,1,8,6,1,0.017006802721088437,1,-0.003649635036496353,0,0.0,0,0.0,0,313,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.0,ENHANCEMENT
29,0,0.0,0,0.0,1,0,34,3,0.16120491465263087,11,-0.15513365718542405,1,0.20454545454545456,2,-0.6716666666666666,9,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0,ENHANCEMENT
5,0,0.0,0,0.0,2,-1,8,1,0.019883574133819613,0,0.0,0,0.0,0,0.0,1,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.0,DEFECT
3,0,0.0,0,0.0,2,-1,8,0,0.0,0,0.0,0,0.0,0,0.0,2,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,DEFECT
4,0,0.0,0,0.0,2,-1,6,0,0.0,0,0.0,0,0.0,1,-0.1193189788189087,1,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,ENHANCEMENT
8,0,0.0,0,0.0,2,-1,8,2,0.04700680272108844,1,-0.022092860148688456,3,0.5315878070537231,2,-0.41666666666666663,1,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0,ENHANCEMENT
3,0,0.0,0,0.0,2,-1,2,0,0.0,1,-0.17045454545454547,0,0.0,0,0.0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,DEFECT
1,0,0.0,0,0.0,2,-1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,DEFECT
3,0,0.0,0,0.0,2,-1,0,2,0.08278481919938838,0,0.0,0,0.0,0,0.0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,DEFECT
2,0,0.0,0,0.0,1,-1,5,0,0.0,1,-0.06733062140552673,0,0.0,0,0.0,0,115,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.0,DEFECT
2,0,0.0,0,0.0,2,-1,3,0,0.0,0,0.0,1,0.1642335766423358,0,0.0,1,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,ENHANCEMENT
8,0,0.0,0,0.0,2,-1,13,1,0.017006802721088437,1,-0.08333333333333333,1,0.12741157076130974,1,-0.001973628839949503,2,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,ENHANCEMENT
4,0,0.0,0,0.0,1,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,DEFECT
4,0,0.0,0,0.0,1,9,4,2,0.09827848191993885,0,0.0,1,0.0935374149659864,0,0.0,1,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,DEFECT
4,0,0.0,0,0.0,1,9,1,2,0.016556963839877675,2,-0.05323097538868603,1,0.0935374149659864,1,-0.27212001752080595,2,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,DEFECT
3,0,0.0,0,0.0,2,-1,5,0,0.0,0,0.0,0,0.0,0,0.0,0,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,DEFECT
2,0,0.0,0,0.0,2,-1,8,0,0.0,0,0.0,0,0.0,0,0.0,1,1436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,ENHANCEMENT
3,0,0.0,0,0.0,1,10,3,2,0.38807785888077856,0,0.0,1,0.20454545454545456,0,0.0,0,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-1.0,ENHANCEMENT
4,0,0.0,0,0.0,2,-1,5,1,0.032851511169513806,2,-0.3249220972767918,1,0.07755474452554745,2,-0.5049528157702233,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.0,ENHANCEMENT
1,0,0.0,0,0.0,2,-1,3,1,0.041666666666666664,0,0.0,0,0.0,0,0.0,1,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,ENHANCEMENT
4,0,0.0,0,0.0,1,10,18,5,0.4165799928786942,1,-0.12500000000000003,0,0.0,0,0.0,2,1517,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-1.0,ENHANCEMENT
2,0,0.0,0,0.0,2,-1,6,0,0.0,1,-0.008278481919938838,0,0.0,0,0.0,1,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,DEFECT
2,0,0.0,0,0.0,2,-1,5,1,0.015306122448979593,0,0.0,0,0.0,0,0.0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,DEFECT
0,0,0.0,0,0.0,2,-1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0.0,ENHANCEMENT
3,0,0.0,0,0.0,2,-1,7,0,0.0,0,0.0,0,0.0,0,0.0,3,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,ENHANCEMENT
2,0,0.0,0,0.0,2,-1,2,0,0.0,0,0.0,0,0.0,0,0.0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,DEFECT
2,0,0.0,0,0.0,2,-1,4,0,0.0,0,0.0,2,0.5,0,0.0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,ENHANCEMENT
2,0,0.0,0,0.0,2,-1,4,0,0.0,0,0.0,0,0.0,1,-0.5340909090909091,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,DEFECT
2,0,0.0,0,0.0,2,-1,4,0,0.0,1,-0.01379746986656473,0,0.0,0,0.0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,DEFECT
2,0,0.0,0,0.0,2,-1,3,0,0.0,1,-0.3863636363636364,0,0.0,0,0.0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,ENHANCEMENT
4,0,0.0,0,0.0,2,-1,12,0,0.0,1,-0.017006802721088437,0,0.0,0,0.0,0,356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,DEFECT
11,0,0.0,0,0.0,2,-1,8,5,0.31228150489986295,2,-0.2,2,0.91,0,0.0,2,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,DEFECT
7,0,0.0,0,0.0,1,-1,6,2,0.14954838042116647,0,0.0,0,0.0,0,0.0,3,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,ENHANCEMENT
13,0,0.0,0,0.0,2,-1,16,2,0.15166975881261596,2,-0.35917041858006593,0,0.0,2,-0.4263085399449036,2,612,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,DEFECT
0,0,0.0,0,0.0,2,-1,3,1,0.032007858013819265,1,-0.11826402742769769,0,0.0,0,0.0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,ENHANCEMENT
6,0,0.0,0,0.0,2,-1,11,0,0.0,0,0.0,0,0.0,0,0.0,1,204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.0,ENHANCEMENT
2,0,0.0,0,0.0,2,-1,2,1,0.032007858013819265,1,-0.11826402742769769,0,0.0,0,0.0,0,1467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,ENHANCEMENT
4,0,0.0,0,0.0,2,-1,9,0,0.0,0,0.0,0,0.0,0,0.0,1,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1.0,ENHANCEMENT
3,0,0.0,0,0.0,1,8,6,0,0.0,1,-0.026511432178426147,1,0.024298577740003647,0,0.0,2,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,DEFECT
3,0,0.0,0,0.0,2,-1,4,1,0.027318640955004594,0,0.0,0,0.0,0,0.0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,DEFECT
1,0,0.0,0,0.0,2,-1,3,0,0.0,0,0.0,1,0.23722627737226276,0,0.0,2,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,DEFECT
2,0,0.0,0,0.0,1,9,2,2,0.07610487688878978,0,0.0,0,0.0,0,0.0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,DEFECT
1,0,0.0,0,0.0,2,-1,4,0,0.0,0,0.0,0,0.0,0,0.0,0,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.0,ENHANCEMENT
0,0,0.0,0,0.0,2,-1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,DEFECT
2,0,0.0,0,0.0,2,-1,4,2,0.06601477647563625,0,0.0,1,0.2718860653408242,0,0.0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,DEFECT
5,0,0.0,0,0.0,2,-1,11,1,0.04139240959969419,0,0.0,2,0.24333333333333335,0,0.0,0,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.0,DEFECT
0,0,0.0,0,0.0,2,-1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,DEFECT
1,0,0.0,0,0.0,2,-1,3,0,0.0,0,0.0,0,0.0,0,0.0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,DEFECT
2,0,0.0,0,0.0,2,-1,7,0,0.0,0,0.0,0,0.0,0,0.0,0,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,DEFECT
1,0,0.0,0,0.0,2,-1,8,3,0.6671809978024033,1,-0.03826530612244898,0,0.0,0,0.0,2,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,DEFECT
2,0,0.0,0,0.0,2,-1,7,0,0.0,1,-0.3333333333333333,0,0.0,0,0.0,3,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,DEFECT
1,0,0.0,0,0.0,2,-1,6,0,0.0,0,0.0,0,0.0,0,0.0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,ENHANCEMENT
12,0,0.0,0,0.0,1,10,11,7,0.7615215980802218,0,0.0,8,1.4295536439110794,1,-0.1193189788189087,7,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0,ENHANCEMENT
1,0,0.0,0,0.0,2,-1,6,0,0.0,0,0.0,0,0.0,0,0.0,1,3097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,ENHANCEMENT
