MethodNameOnly;ClusterName;API
/apartment-data/trends;/apartment-data/other;apartment-data
/apartment-data/trends/;/apartment-data/other;apartment-data
/apartment-data/trends/5;/apartment-data/other;apartment-data
/apartment-data/trends/readingsExtended;/apartment-data/other;apartment-data
/apartment-data-oauth2/1;/apartment-data/other;apartment-data
/apartment-data-oauth2/1/buildings;/apartment-data/other;apartment-data
/apartment-data-oauth2/1/readingsExtended;/apartment-data/other;apartment-data
/apartment-data-oauth2/1/subnets;/apartment-data/other;apartment-data
/apartment-data/trends/apartments;/apartment-data/apartments;apartment-data
/apartment-data-oauth2/1/apartments;/apartment-data/apartments;apartment-data
/apartment-data/trends/getRecordCount;/apartment-data/getRecordCount;apartment-data
/apartment-data-oauth2/1/getRecordCount;/apartment-data/getRecordCount;apartment-data
/apartment-data/trends/subnets;/apartment-data/other;apartment-data
/apartment-data-oauth2/1/;/apartment-data/other;apartment-data
/apartment-data-oauth2/1/5;/apartment-data/other;apartment-data
/apartment-data-oauth2/1/checkWSO2AccessToken;/apartment-data/checkWSO2AccT;apartment-data
/apartment-data/trends/getMaxDate;/apartment-data/getMaxDate;apartment-data
/apartment-data/trends/getMinDate;/apartment-data/getMaxDate;apartment-data
/apartment-data/trends/getMinMaxDates;/apartment-data/getMaxDate;apartment-data
/apartment-data-oauth2/1/getMaxDate;/apartment-data/getMaxDate;apartment-data
/apartment-data-oauth2/1/getMinDate;/apartment-data/getMaxDate;apartment-data
/apartment-data-oauth2/1/getMinMaxDates;/apartment-data/getMaxDate;apartment-data
/apartment-data-oauth2_1/oauth/token;/apartment-data/oauth/token;apartment-data
/oauth/token/apartment-data-oauth2/1;/apartment-data/oauth/token;apartment-data
/oauth/tokenapartment-data-oauth2/1;/apartment-data/oauth/token;apartment-data
/ascrappbackend2-oauth2_1/oauth/token;/other;noAPI
/ascrappbackend2;/other;noAPI
/ascrappbackend2/helloWorld;/other;noAPI
/ascrappbackend2-oauth2/1;/other;noAPI
/oauth/tokenascrappbackend2-oauth2/1;/other;noAPI
/building-data/trends/buildings;/building-data/buildings;building-data
/building-data-ecosystem/1/buildings;/building-data/buildings;building-data
/building-data-oauth2/1/buildings;/building-data/buildings;building-data
